Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Bosch_Appliances,Stainless_Steel_App,Refrigerator,Dishwasher,Microwave,Laundry,Washer/Dryer_in_unit,Terrace,Balcony,Vaulted_Ceilings,Garden,Penthouse,Concierge,Lounge,A/C,Smoke_Free,Pets_Allowed,Pool,Gym,Gated,Furnished,Garage,Wheelchair_Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
1,1.0,Oakland,94609,Pill Hill,2935,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2875,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1.0,Oakland,94609,Pill Hill,2890,502.0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
